"NúmeroDoPedido";"CódigoDoCliente";"CódigoDoFuncionário";"DataDoPedido";"DataDeEntrega";"DataDeEnvio";"Via";"Frete";"NomeDoDestinatário";"EndereçoDoDestinatário";"CidadeDeDestino";"RegiãoDeDestino";"CEPdeDestino";"PaísDeDestino"
10248;"VINET";5;4/7/1996 00:00:00;1/8/1996 00:00:00;16/7/1996 00:00:00;3;R$ 32,38;"Vins et alcools Chevalier";"59 rue de l'Abbaye";"Reims";;"51100";"França"
10249;"TOMSP";6;5/7/1996 00:00:00;16/8/1996 00:00:00;10/7/1996 00:00:00;1;R$ 11,61;"Toms Spezialitäten";"Luisenstr. 48";"Münster";;"44087";"Alemanha"
10250;"HANAR";4;8/7/1996 00:00:00;5/8/1996 00:00:00;12/7/1996 00:00:00;2;R$ 65,83;"Hanari Carnes";"Rua do Paço, 67";"Rio de Janeiro";"RJ";"05454-876";"Brasil"
10251;"VICTE";3;8/7/1996 00:00:00;5/8/1996 00:00:00;15/7/1996 00:00:00;1;R$ 41,34;"Victuailles en stock";"2, rue du Commerce";"Lyon";;"69004";"França"
10252;"SUPRD";4;9/7/1996 00:00:00;6/8/1996 00:00:00;11/7/1996 00:00:00;2;R$ 51,30;"Suprêmes délices";"Boulevard Tirou, 255";"Charleroi";;"B-6000";"Bélgica"
10253;"HANAR";3;10/7/1996 00:00:00;24/7/1996 00:00:00;16/7/1996 00:00:00;2;R$ 58,17;"Hanari Carnes";"Rua do Paço, 67";"Rio de Janeiro";"RJ";"05454-876";"Brasil"
10254;"CHOPS";5;11/7/1996 00:00:00;8/8/1996 00:00:00;23/7/1996 00:00:00;2;R$ 22,98;"Chop-suey Chinese";"Hauptstr. 31";"Bern";;"3012";"Suíça"
10255;"RICSU";9;12/7/1996 00:00:00;9/8/1996 00:00:00;15/7/1996 00:00:00;3;R$ 148,33;"Richter Supermarkt";"Starenweg 5";"Genève";;"1204";"Suíça"
10256;"WELLI";3;15/7/1996 00:00:00;12/8/1996 00:00:00;17/7/1996 00:00:00;2;R$ 13,97;"Wellington Importadora";"Rua do Mercado, 12";"Resende";"SP";"08737-363";"Brasil"
10257;"HILAA";4;16/7/1996 00:00:00;13/8/1996 00:00:00;22/7/1996 00:00:00;3;R$ 81,91;"HILARIÓN-Abastos";"Carrera 22 con Ave. Carlos Soublette #8-35";"San Cristóbal";"Táchira";"5022";"Venezuela"
10258;"ERNSH";1;17/7/1996 00:00:00;14/8/1996 00:00:00;23/7/1996 00:00:00;1;R$ 140,51;"Ernst Handel";"Kirchgasse 6";"Graz";;"8010";"Áustria"
10259;"CENTC";4;18/7/1996 00:00:00;15/8/1996 00:00:00;25/7/1996 00:00:00;3;R$ 3,25;"Centro comercial Moctezuma";"Sierras de Granada 9993";"México D.F.";;"05022";"México"
10260;"OTTIK";4;19/7/1996 00:00:00;16/8/1996 00:00:00;29/7/1996 00:00:00;1;R$ 55,09;"Ottilies Käseladen";"Mehrheimerstr. 369";"Köln";;"50739";"Alemanha"
10261;"QUEDE";4;19/7/1996 00:00:00;16/8/1996 00:00:00;30/7/1996 00:00:00;2;R$ 3,05;"Que Delícia";"Rua da Panificadora, 12";"Rio de Janeiro";"RJ";"02389-673";"Brasil"
10262;"RATTC";8;22/7/1996 00:00:00;19/8/1996 00:00:00;25/7/1996 00:00:00;3;R$ 48,29;"Rattlesnake Canyon Grocery";"2817 Milton Dr.";"Albuquerque";"NM";"87110";"EUA"
10263;"ERNSH";9;23/7/1996 00:00:00;20/8/1996 00:00:00;31/7/1996 00:00:00;3;R$ 146,06;"Ernst Handel";"Kirchgasse 6";"Graz";;"8010";"Áustria"
10264;"FOLKO";6;24/7/1996 00:00:00;21/8/1996 00:00:00;23/8/1996 00:00:00;3;R$ 3,67;"Folk och fä HB";"Åkergatan 24";"Bräcke";;"S-844 67";"Suécia"
10265;"BLONP";2;25/7/1996 00:00:00;22/8/1996 00:00:00;12/8/1996 00:00:00;1;R$ 55,28;"Blondel père et fils";"24, place Kléber";"Strasbourg";;"67000";"França"
10266;"WARTH";3;26/7/1996 00:00:00;6/9/1996 00:00:00;31/7/1996 00:00:00;3;R$ 25,73;"Wartian Herkku";"Torikatu 38";"Oulu";;"90110";"Finlândia"
10267;"FRANK";4;29/7/1996 00:00:00;26/8/1996 00:00:00;6/8/1996 00:00:00;1;R$ 208,58;"Frankenversand";"Berliner Platz 43";"München";;"80805";"Alemanha"
10268;"GROSR";8;30/7/1996 00:00:00;27/8/1996 00:00:00;2/8/1996 00:00:00;3;R$ 66,29;"GROSELLA-Restaurante";"5ª Ave. Los Palos Grandes";"Caracas";"DF";"1081";"Venezuela"
10269;"WHITC";5;31/7/1996 00:00:00;14/8/1996 00:00:00;9/8/1996 00:00:00;1;R$ 4,56;"White Clover Markets";"1029 - 12th Ave. S.";"Seattle";"WA";"98124";"EUA"
10270;"WARTH";1;1/8/1996 00:00:00;29/8/1996 00:00:00;2/8/1996 00:00:00;1;R$ 136,54;"Wartian Herkku";"Torikatu 38";"Oulu";;"90110";"Finlândia"
10271;"SPLIR";6;1/8/1996 00:00:00;29/8/1996 00:00:00;30/8/1996 00:00:00;2;R$ 4,54;"Split Rail Beer & Ale";"P.O. Box 555";"Lander";"WY";"82520";"EUA"
10272;"RATTC";6;2/8/1996 00:00:00;30/8/1996 00:00:00;6/8/1996 00:00:00;2;R$ 98,03;"Rattlesnake Canyon Grocery";"2817 Milton Dr.";"Albuquerque";"NM";"87110";"EUA"
10273;"QUICK";3;5/8/1996 00:00:00;2/9/1996 00:00:00;12/8/1996 00:00:00;3;R$ 76,07;"QUICK-Stop";"Taucherstraße 10";"Cunewalde";;"01307";"Alemanha"
10274;"VINET";6;6/8/1996 00:00:00;3/9/1996 00:00:00;16/8/1996 00:00:00;1;R$ 6,01;"Vins et alcools Chevalier";"59 rue de l'Abbaye";"Reims";;"51100";"França"
